Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Summaprada;7421;0;Cazis;3661;GR;2752555.813;1175585.392;de;01.07.2008
Tartar;7422;0;Cazis;3661;GR;2751428.84;1176330.93;rm;01.07.2008
Sarn;7423;0;Cazis;3661;GR;2749031.378;1176734.446;rm;01.07.2008
Portein;7423;2;Cazis;3661;GR;2749075.071;1175278.93;rm;01.07.2008
Präz;7424;0;Cazis;3661;GR;2749568.112;1179261.799;rm;01.07.2008
Dalin;7424;1;Cazis;3661;GR;2750309.376;1177851.694;rm;01.07.2008
Flerden;7426;0;Flerden;3662;GR;2750018.52;1174209.6;rm;01.07.2008
Flerden;7426;0;Flerden;3662;GR;2749828.036;1170685.724;rm;01.07.2008
Summaprada;7421;0;Masein;3663;GR;2751823.786;1175145.453;de;01.07.2008
Masein;7425;0;Masein;3663;GR;2751717.671;1173515.767;de;01.07.2008
Thusis;7430;0;Thusis;3668;GR;2752449.24;1172390.912;de;01.07.2008
Mutten;7431;1;Thusis;3668;GR;2757671.896;1171809.735;de;01.07.2008
Obermutten;7431;2;Thusis;3668;GR;2756702.408;1170554.292;de;01.07.2008
Tschappina;7428;0;Tschappina;3669;GR;2746849.891;1171407.318;de;01.07.2008
Urmein;7427;0;Urmein;3670;GR;2749849.761;1172946.288;de;01.07.2008
Versam;7104;0;Safiental;3672;GR;2744800.689;1182844.278;de;01.07.2008
Tenna;7106;0;Safiental;3672;GR;2744798.573;1179098.098;de;01.07.2008
Safien Platz;7107;0;Safiental;3672;GR;2744336.207;1174984.391;de;01.07.2008
Thalkirch;7109;0;Safiental;3672;GR;2741425.918;1166750.129;de;01.07.2008
Valendas;7122;0;Safiental;3672;GR;2741690.871;1181707.217;de;01.07.2008
Bonaduz;7402;0;Safiental;3672;GR;2747671.26;1180496.859;de;01.07.2008
Feldis/Veulden;7404;0;Domleschg;3673;GR;2752432.391;1184833.436;multiple;01.07.2008
Trans;7407;0;Domleschg;3673;GR;2756109.274;1181009.565;rm;01.07.2008
Rodels;7415;0;Domleschg;3673;GR;2752988.01;1178362.094;rm;01.07.2008
Pratval;7415;2;Domleschg;3673;GR;2753387.301;1177609.443;rm;01.07.2008
Almens;7416;0;Domleschg;3673;GR;2756167.402;1178855.965;rm;01.07.2008
Paspels;7417;0;Domleschg;3673;GR;2754209.405;1179743.652;rm;01.07.2008
Tumegl/Tomils;7418;0;Domleschg;3673;GR;2753218.458;1181169.305;multiple;01.07.2008
Scheid;7419;0;Domleschg;3673;GR;2755140.659;1183429.234;rm;01.07.2008
Avers;7447;0;Avers;3681;GR;2759859.099;1144649.189;de;01.04.2022
Juf;7448;0;Avers;3681;GR;2765289.814;1144216.626;de;01.07.2008
Sufers;7434;0;Sufers;3695;GR;2749447.079;1157370.797;de;01.07.2008
Andeer;7440;0;Andeer;3701;GR;2751403.771;1160485.15;rm;01.07.2008
Clugin;7442;0;Andeer;3701;GR;2751442.893;1164429.312;rm;01.07.2008
Pignia;7443;0;Andeer;3701;GR;2755530.968;1163337.457;rm;01.07.2008
Rongellen;7430;2;Rongellen;3711;GR;2753051.229;1171062.8;rm;01.07.2008
Zillis;7432;0;Zillis-Reischen;3712;GR;2755445.863;1167928.136;rm;01.07.2008
Ausserferrera;7444;0;Ferrera;3713;GR;2755256.595;1157771.576;rm;01.07.2008
Innerferrera;7445;0;Ferrera;3713;GR;2751043.339;1151792.356;rm;01.07.2008
Innerferrera;7445;0;Ferrera;3713;GR;2754682.506;1149888.896;rm;01.07.2008
Splügen;7435;0;Rheinwald;3714;GR;2744776.54;1156002.905;de;01.07.2008
Medels im Rheinwald;7436;0;Rheinwald;3714;GR;2741109.272;1156690.362;de;01.07.2008
Nufenen;7437;0;Rheinwald;3714;GR;2738100.42;1156615.089;de;01.07.2008
Hinterrhein;7438;0;Rheinwald;3714;GR;2731744.755;1152963.483;de;01.07.2008
Donat;7433;0;Muntogna da Schons;3715;GR;2751928.854;1166253.557;rm;01.07.2008
Lohn GR;7433;3;Muntogna da Schons;3715;GR;2751606.829;1169028.117;rm;01.07.2008
Mathon;7433;4;Muntogna da Schons;3715;GR;2748809.822;1167363.571;rm;01.07.2008
Wergenstein;7433;5;Muntogna da Schons;3715;GR;2746496.034;1164489.632;rm;01.07.2008
Bonaduz;7402;0;Bonaduz;3721;GR;2746111.974;1185285.361;de;01.07.2008
Domat/Ems;7013;0;Domat/Ems;3722;GR;2753557.673;1187353.665;multiple;01.07.2008
Rhäzüns;7403;0;Rhäzüns;3723;GR;2749369.585;1183501.578;rm;01.07.2008
Felsberg;7012;0;Felsberg;3731;GR;2754289.686;1191882.605;de;01.07.2008
Flims Dorf;7017;0;Flims;3732;GR;2739542.329;1190994.473;rm;01.07.2008
Flims Waldhaus;7018;0;Flims;3732;GR;2740910.997;1187567.47;rm;01.07.2008
Fidaz;7019;0;Flims;3732;GR;2743320.263;1189885.002;rm;01.07.2008
Tamins;7015;0;Tamins;3733;GR;2750287.372;1189898.962;de;01.07.2008
Vättis;7315;0;Tamins;3733;GR;2749838.467;1193402.543;de;01.07.2008
Trin;7014;0;Trin;3734;GR;2743523.542;1193588.26;rm;01.07.2008
Tamins;7015;0;Trin;3734;GR;2748303.215;1188268.072;de;01.07.2008
Trin Mulin;7016;0;Trin;3734;GR;2744653.564;1187395.965;rm;01.07.2008
Brail;7527;0;Zernez;3746;GR;2796920.706;1173229.363;rm;01.07.2008
Zernez;7530;0;Zernez;3746;GR;2806740.537;1171587.662;rm;01.07.2008
Susch;7542;0;Zernez;3746;GR;2798060.223;1180889.287;rm;01.07.2008
Lavin;7543;0;Zernez;3746;GR;2803653.967;1185439.768;rm;01.07.2008
Samnaun-Compatsch;7562;0;Samnaun;3752;GR;2825730.708;1205767.04;de;01.07.2008
Samnaun Dorf;7563;0;Samnaun;3752;GR;2822313.26;1203703.795;de;01.07.2008
Guarda;7545;0;Scuol;3762;GR;2806163.588;1188987.125;rm;01.07.2008
Ardez;7546;0;Scuol;3762;GR;2809761.151;1184084.428;rm;01.07.2008
Scuol;7550;0;Scuol;3762;GR;2820785.895;1179758.872;rm;01.07.2008
Ftan;7551;0;Scuol;3762;GR;2812700.837;1189629.048;rm;01.07.2008
Vulpera;7552;0;Scuol;3762;GR;2817387.633;1185731.207;rm;01.07.2008
Tarasp;7553;0;Scuol;3762;GR;2814556.564;1179803.852;rm;01.07.2008
Sent;7554;0;Scuol;3762;GR;2820416.895;1190767.236;rm;01.07.2008
Vnà;7557;0;Scuol;3762;GR;2820425.218;1195311.918;rm;01.07.2008
Ramosch;7556;0;Valsot;3764;GR;2813756.688;1198278.75;rm;01.07.2008
Ramosch;7556;0;Valsot;3764;GR;2826830.109;1191272.37;rm;01.07.2008
Vnà;7557;0;Valsot;3764;GR;2820986.465;1196318.216;rm;01.07.2008
Strada;7558;0;Valsot;3764;GR;2828751.11;1193781.327;rm;01.07.2008
Tschlin;7559;0;Valsot;3764;GR;2826560.102;1196928.014;rm;01.07.2008
Martina;7560;0;Valsot;3764;GR;2827676.735;1200012.776;rm;01.07.2008
Bever;7502;0;Bever;3781;GR;2775987.751;1155882.331;rm;01.07.2008
Bever;7502;0;Bever;3781;GR;2786132.125;1158695.734;rm;01.07.2008
St. Moritz;7500;0;Celerina/Schlarigna;3782;GR;2786272.194;1152305.687;rm;01.07.2008
Pontresina;7504;0;Celerina/Schlarigna;3782;GR;2788560.666;1151941.923;rm;01.07.2008
Celerina/Schlarigna;7505;0;Celerina/Schlarigna;3782;GR;2786536.167;1153001.059;multiple;01.07.2008
Madulain;7523;0;Madulain;3783;GR;2791108.669;1162675.636;rm;01.07.2008
Madulain;7523;0;Madulain;3783;GR;2796912.848;1152840.33;rm;01.07.2008
Pontresina;7504;0;Pontresina;3784;GR;2791801.435;1145738.492;rm;01.07.2008
La Punt Chamues-ch;7522;0;La Punt Chamues-ch;3785;GR;2793371.748;1157265.239;rm;01.10.2020
Samedan;7503;0;Samedan;3786;GR;2784664.455;1156592.837;rm;01.07.2008
Pontresina;7504;0;Samedan;3786;GR;2786329.112;1143511.018;rm;01.07.2008
Silvaplana-Surlej;7513;2;Samedan;3786;GR;2783154.887;1143511.504;rm;01.07.2008
St. Moritz;7500;0;St. Moritz;3787;GR;2783865.666;1151052.217;rm;01.07.2008
Champfèr;7512;0;St. Moritz;3787;GR;2782378.358;1150353.333;rm;01.07.2008
S-chanf;7525;0;S-chanf;3788;GR;2797860.167;1163645.142;rm;01.07.2008
Cinuos-chel;7526;0;S-chanf;3788;GR;2797767.947;1169081.138;rm;01.07.2008
Chapella;7526;1;S-chanf;3788;GR;2791224.815;1170475.68;rm;01.02.2021
Sils/Segl Maria;7514;0;Sils im Engadin/Segl;3789;GR;2779900.688;1145354.229;multiple;01.07.2008
Fex;7514;2;Sils im Engadin/Segl;3789;GR;2780873.955;1138868.648;rm;01.07.2008
Sils/Segl Baselgia;7515;0;Sils im Engadin/Segl;3789;GR;2777005.371;1145404.993;multiple;01.07.2008
Plaun da Lej;7517;0;Sils im Engadin/Segl;3789;GR;2774265.413;1144361.542;rm;01.07.2008
Champfèr;7512;0;Silvaplana;3790;GR;2781839.644;1150118.196;rm;01.07.2008
Silvaplana;7513;0;Silvaplana;3790;GR;2778409.971;1150018.275;rm;01.07.2008
Silvaplana-Surlej;7513;2;Silvaplana;3790;GR;2783092.715;1146411.89;rm;01.07.2008
Zuoz;7524;0;Zuoz;3791;GR;2787505.517;1165190.177;rm;01.07.2008
Zuoz;7524;0;Zuoz;3791;GR;2794916.112;1163051.23;rm;01.07.2008
Avers;7447;0;Bregaglia;3792;GR;2758846.368;1140998.543;de;01.04.2022
Maloja;7516;0;Bregaglia;3792;GR;2775811.491;1137800.07;it;01.07.2008
Casaccia;7602;0;Bregaglia;3792;GR;2770056.336;1140500.075;it;01.07.2008
Vicosoprano;7603;0;Bregaglia;3792;GR;2770067.042;1135410.541;it;01.07.2008
Borgonovo;7604;0;Bregaglia;3792;GR;2766717.271;1135158.758;it;01.07.2008
Stampa;7605;0;Bregaglia;3792;GR;2765950.87;1134571.841;it;01.07.2008
Promontogno;7606;0;Bregaglia;3792;GR;2763346.542;1134230.032;it;01.07.2008
Bondo;7606;1;Bregaglia;3792;GR;2765009.693;1131269.256;de;01.12.2016
Castasegna;7608;0;Bregaglia;3792;GR;2760505.214;1133513.216;it;01.07.2008
Soglio;7610;0;Bregaglia;3792;GR;2761285.967;1136215.973;it;01.07.2008
Buseno;6542;0;Buseno;3804;GR;2727931.646;1126064.818;it;01.07.2008
Grono;6537;0;Castaneda;3805;GR;2731527.298;1123666.622;it;01.07.2008
Castaneda;6540;0;Castaneda;3805;GR;2730536.181;1124169.122;it;01.07.2008
Sta. Maria in Calanca;6541;0;Castaneda;3805;GR;2729849.286;1125299.46;it;01.07.2008
Rossa;6548;0;Rossa;3808;GR;2730158.961;1141135.535;it;01.07.2008
Augio;6548;1;Rossa;3808;GR;2730478.968;1135748.686;it;01.07.2008
Sta. Domenica;6548;2;Rossa;3808;GR;2729431.349;1134557.225;it;01.08.2018
Sta. Maria in Calanca;6541;0;Santa Maria in Calanca;3810;GR;2731424.492;1126439.032;it;01.07.2008
Lostallo;6558;0;Lostallo;3821;GR;2737661.593;1129566.535;it;01.07.2008
Mesocco;6563;0;Mesocco;3822;GR;2737058.613;1140379.768;it;01.07.2008
S. Bernardino;6565;0;Mesocco;3822;GR;2733718.775;1148101.348;it;01.07.2008
Soazza;6562;0;Soazza;3823;GR;2737838.242;1134763.032;it;01.07.2008
Cama;6557;0;Cama;3831;GR;2735998.319;1124796.973;it;01.07.2008
Grono;6537;0;Grono;3832;GR;2734581.25;1121626.057;it;01.07.2008
Verdabbio;6538;0;Grono;3832;GR;2738425.331;1125249.817;it;01.07.2008
Verdabbio;6538;0;Grono;3832;GR;2732883.007;1129273.093;it;01.07.2008
Leggia;6556;0;Grono;3832;GR;2734883.292;1123545.571;it;01.07.2008
Cama;6557;0;Grono;3832;GR;2733718.71;1127555.741;it;01.07.2008
Roveredo GR;6535;0;Roveredo (GR);3834;GR;2732140.799;1118092.102;it;01.07.2008
Laura;6549;0;Roveredo (GR);3834;GR;2728525.087;1118990.617;it;01.07.2008
Lumino;6533;0;San Vittore;3835;GR;2726257.958;1121706.383;it;01.07.2008
S. Vittore;6534;0;San Vittore;3835;GR;2733265.099;1116904.014;it;01.07.2008
S. Vittore;6534;0;San Vittore;3835;GR;2727225.787;1122440.337;it;01.07.2008
Arvigo;6543;0;Calanca;3837;GR;2727553.21;1129077.526;it;01.07.2008
Braggio;6544;0;Calanca;3837;GR;2730580.455;1129126.599;it;01.07.2008
Selma;6545;0;Calanca;3837;GR;2728488.341;1131385.203;it;01.07.2008
Cauco;6546;0;Calanca;3837;GR;2730438.514;1132544.169;it;01.07.2008
Tschierv;7532;0;Val Müstair;3847;GR;2818964.524;1169640.485;rm;01.07.2008
Fuldera;7533;0;Val Müstair;3847;GR;2822605.72;1165362.449;rm;01.07.2008
Lü;7534;0;Val Müstair;3847;GR;2824346.319;1168884.461;rm;01.07.2008
Valchava;7535;0;Val Müstair;3847;GR;2826183.129;1165074.614;rm;01.07.2008
Sta. Maria Val Müstair;7536;0;Val Müstair;3847;GR;2818299.216;1163622.422;rm;01.07.2008
Müstair;7537;0;Val Müstair;3847;GR;2830367.396;1168408.196;rm;01.07.2008
Davos Dorf;7260;0;Davos;3851;GR;2786344.478;1183486.285;de;01.07.2008
Davos Wolfgang;7265;0;Davos;3851;GR;2784479.958;1190149.375;de;01.07.2008
Davos Platz;7270;0;Davos;3851;GR;2781300.526;1184333.95;de;01.07.2008
Davos Clavadel;7272;0;Davos;3851;GR;2784206.962;1177311.364;de;01.07.2008
Davos Frauenkirch;7276;0;Davos;3851;GR;2777963.663;1183658.718;de;01.07.2008
Davos Glaris;7277;0;Davos;3851;GR;2779434.374;1178407.94;de;01.07.2008
Davos Monstein;7278;0;Davos;3851;GR;2779159.565;1174639.056;de;01.07.2008
Davos Wiesen;7494;0;Davos;3851;GR;2774306.63;1176225.104;de;01.01.2011
Fideris;7235;0;Fideris;3861;GR;2775136.087;1195545.29;de;01.07.2008
Furna;7232;0;Furna;3862;GR;2769238.125;1197999.313;de;01.07.2008
Pragg-Jenaz;7231;0;Jenaz;3863;GR;2771916.364;1201459.996;de;01.07.2008
Furna;7232;0;Jenaz;3863;GR;2771120.651;1201786.655;de;01.07.2008
Jenaz;7233;0;Jenaz;3863;GR;2772709.081;1196598.387;de;01.07.2008
Saas im Prättigau;7247;0;Klosters;3871;GR;2783367.333;1198916.627;de;01.07.2008
Serneus;7249;0;Klosters;3871;GR;2782614.101;1195808.876;de;01.07.2008
Klosters;7250;0;Klosters;3871;GR;2793572.925;1190413.949;de;01.07.2008
Klosters Dorf;7252;0;Klosters;3871;GR;2789972.404;1197161.421;de;01.07.2008
Davos Wolfgang;7265;0;Klosters;3871;GR;2785723.843;1191819.793;de;01.07.2008
Conters im Prättigau;7241;0;Conters im Prättigau;3881;GR;2778991.002;1195286.53;de;01.07.2008
Küblis;7240;0;Küblis;3882;GR;2779294.691;1199742.2;de;01.07.2008
Lunden;7222;0;Luzein;3891;GR;2774840.434;1202502.601;de;01.05.2015
Buchen im Prättigau;7223;0;Luzein;3891;GR;2773997.101;1201063.882;de;01.07.2008
Putz;7224;0;Luzein;3891;GR;2775462.077;1199910.386;de;01.07.2008
Stels;7226;0;Luzein;3891;GR;2775880.119;1203662.408;de;01.07.2008
Küblis;7240;0;Luzein;3891;GR;2777131.27;1198460.872;de;01.07.2008
Luzein;7242;0;Luzein;3891;GR;2776982.444;1199241.911;de;01.07.2008
Pany;7243;0;Luzein;3891;GR;2777480.683;1202404.368;de;01.07.2008
Gadenstätt;7244;0;Luzein;3891;GR;2779109.765;1201891.43;de;01.07.2008
Ascharina;7245;0;Luzein;3891;GR;2781266.321;1202592.883;de;01.07.2008
St. Antönien;7246;0;Luzein;3891;GR;2781889.942;1205759.371;de;01.07.2008
Chur;7000;0;Chur;3901;GR;2759666.064;1191898.364;de;01.07.2008
Haldenstein;7023;0;Chur;3901;GR;2757008.367;1194057.021;de;01.07.2008
Maladers;7026;0;Chur;3901;GR;2762551.335;1190282.271;de;01.07.2008
Malix;7074;0;Chur;3901;GR;2759185.574;1189145.22;de;01.07.2008
Chur;7000;0;Churwalden;3911;GR;2760842.663;1188991.196;de;01.07.2008
Passugg;7062;0;Churwalden;3911;GR;2761555.646;1187748.19;de;01.04.2014
Malix;7074;0;Churwalden;3911;GR;2758677.012;1186760.169;de;01.07.2008
Churwalden;7075;0;Churwalden;3911;GR;2759723.46;1182861.885;de;01.07.2008
Parpan;7076;0;Churwalden;3911;GR;2762662.68;1183133.524;de;01.07.2008
Castiel;7027;0;Arosa;3921;GR;2766033.452;1191022.196;de;01.07.2008
Lüen;7027;1;Arosa;3921;GR;2766586.401;1189572.699;de;01.07.2008
Calfreisen;7027;3;Arosa;3921;GR;2764951.348;1191854.995;de;01.07.2008
St. Peter;7028;0;Arosa;3921;GR;2769053.715;1190854.755;de;01.07.2008
Pagig;7028;1;Arosa;3921;GR;2767638.778;1190128.277;de;01.07.2008
Peist;7029;0;Arosa;3921;GR;2771833.751;1190969.988;de;01.07.2008
Arosa;7050;0;Arosa;3921;GR;2770813.96;1182490.393;de;01.07.2008
Molinis;7056;0;Arosa;3921;GR;2768466.271;1186920.281;de;01.07.2008
Langwies;7057;0;Arosa;3921;GR;2776165.234;1188092.768;de;01.07.2008
Litzirüti;7058;0;Arosa;3921;GR;2772717.958;1185558.315;de;01.07.2008
Davos Dorf;7260;0;Arosa;3921;GR;2780130.687;1189157.599;de;01.07.2008
Praden;7063;0;Chur;3901;GR;2763704.123;1187722.028;de;01.07.2008
Tschiertschen;7064;0;Chur;3901;GR;2765534.874;1184836.416;de;01.07.2008
Says;7202;0;Trimmis;3945;GR;2764216.758;1197187.594;de;01.07.2008
Trimmis;7203;0;Trimmis;3945;GR;2762178.659;1195397.478;de;01.07.2008
Valzeina;7213;0;Trimmis;3945;GR;2766483.33;1196952.437;de;01.07.2008
Untervaz;7204;0;Untervaz;3946;GR;2758340.856;1198794.267;de;01.07.2008
Zizers;7205;0;Zizers;3947;GR;2761566.18;1200936.699;de;01.07.2008
Landquart;7302;0;Zizers;3947;GR;2760774.431;1203549.449;de;01.07.2008
Maienfeld;7304;0;Fläsch;3951;GR;2762450.142;1212294.601;de;01.07.2008
Fläsch;7306;0;Fläsch;3951;GR;2756837.926;1211906.989;de;01.07.2008
Jenins;7307;0;Jenins;3952;GR;2761726.885;1208495.487;de;01.07.2008
Landquart;7302;0;Maienfeld;3953;GR;2761094.257;1204263.237;de;01.07.2008
Maienfeld;7304;0;Maienfeld;3953;GR;2759734.833;1209710.481;de;01.07.2008
Malans GR;7208;0;Malans;3954;GR;2763014.881;1206503.712;de;01.07.2008
Untervaz;7204;0;Landquart;3955;GR;2760048.636;1201814.805;de;01.07.2008
Igis;7206;0;Landquart;3955;GR;2763040.894;1201588.53;de;01.07.2008
Landquart;7302;0;Landquart;3955;GR;2762579.761;1203368.026;de;01.07.2008
Mastrils;7303;0;Landquart;3955;GR;2759658.894;1203144.224;de;01.07.2008
St. Margrethenberg;7313;0;Landquart;3955;GR;2758549.193;1203135.327;de;01.07.2008
Valzeina;7213;0;Grüsch;3961;GR;2765686.732;1204137.795;de;01.07.2008
Grüsch;7214;0;Grüsch;3961;GR;2767756.492;1203386.932;de;01.07.2008
Fanas;7215;0;Grüsch;3961;GR;2770465.802;1208291.143;de;01.07.2008
Grüsch;7214;0;Schiers;3962;GR;2769244.376;1205193.801;de;01.07.2008
Schiers;7220;0;Schiers;3962;GR;2770878.839;1204625.872;de;01.07.2008
Schiers;7220;0;Schiers;3962;GR;2777310.432;1207552.077;de;01.07.2008
Lunden;7222;0;Schiers;3962;GR;2773057.18;1202738.382;de;01.05.2015
Stels;7226;0;Schiers;3962;GR;2774812.487;1204549.797;de;01.07.2008
Stels;7226;0;Schiers;3962;GR;2779220.027;1209132.976;de;01.07.2008
Fajauna;7226;2;Schiers;3962;GR;2772148.159;1204575.873;de;01.07.2008
Schuders;7228;0;Schiers;3962;GR;2775766.998;1209394.628;de;01.07.2008
Pusserein;7228;1;Schiers;3962;GR;2772982.798;1206938.276;de;01.07.2008
Seewis Dorf;7212;0;Seewis im Prättigau;3972;GR;2766880.793;1209785.186;de;01.07.2008
Seewis-Pardisla;7212;1;Seewis im Prättigau;3972;GR;2767178.175;1205482.164;de;01.07.2008
Seewis-Schmitten;7212;2;Seewis im Prättigau;3972;GR;2767617.075;1205720.039;de;01.07.2008
Fanas;7215;0;Seewis im Prättigau;3972;GR;2768604.954;1209583.733;de;01.07.2008
Obersaxen;7134;0;Breil/Brigels;3981;GR;2721832.12;1178075.54;de;01.05.2015
Waltensburg/Vuorz;7158;0;Breil/Brigels;3981;GR;2725806.477;1184630.508;multiple;01.07.2008
Andiast;7159;0;Breil/Brigels;3981;GR;2726246.464;1187182.91;rm;01.07.2008
Tavanasa;7162;0;Breil/Brigels;3981;GR;2725218.18;1179776.199;rm;01.07.2008
Danis;7163;0;Breil/Brigels;3981;GR;2723545.976;1179573.463;rm;01.07.2008
Dardin;7164;0;Breil/Brigels;3981;GR;2722101.837;1179772.396;rm;01.07.2008
Breil/Brigels;7165;0;Breil/Brigels;3981;GR;2720134.175;1184221.514;multiple;01.07.2008
Disentis/Mustér;7180;0;Disentis/Mustér;3982;GR;2707288.694;1178100.785;multiple;01.07.2008
Cavardiras;7182;0;Disentis/Mustér;3982;GR;2710488.992;1173089.77;rm;01.07.2008
Mumpé Medel;7183;0;Disentis/Mustér;3982;GR;2707215.608;1171099.052;rm;01.02.2010
Segnas;7186;0;Disentis/Mustér;3982;GR;2705383.249;1172370.169;rm;01.07.2008
Curaglia;7184;0;Medel (Lucmagn);3983;GR;2710170.339;1169743.823;rm;01.07.2008
Platta;7185;0;Medel (Lucmagn);3983;GR;2706917.396;1163142.077;rm;01.07.2008
Rabius;7172;0;Sumvitg;3985;GR;2715854.108;1178077.705;rm;01.07.2008
Surrein;7173;0;Sumvitg;3985;GR;2716478.27;1170827.496;rm;01.07.2008
S. Benedetg;7174;0;Sumvitg;3985;GR;2715188.298;1177358.135;rm;01.07.2008
Sumvitg;7175;0;Sumvitg;3985;GR;2712915.294;1180021.354;rm;01.07.2008
Cumpadials;7176;0;Sumvitg;3985;GR;2713125.488;1174224.123;rm;01.07.2008
Disentis/Mustér;7180;0;Sumvitg;3985;GR;2711732.909;1175183.171;multiple;01.07.2008
Camischolas;7187;0;Tujetsch;3986;GR;2701173.056;1170839.754;rm;01.07.2008
Sedrun;7188;0;Tujetsch;3986;GR;2700306.643;1164271.731;rm;01.07.2008
Rueras;7189;0;Tujetsch;3986;GR;2697511.619;1170323.015;rm;01.07.2008
Trun;7166;0;Trun;3987;GR;2717818.639;1176469.118;rm;01.07.2008
Zignau;7167;0;Trun;3987;GR;2719957.36;1176860.343;rm;01.07.2008
Schlans;7168;0;Trun;3987;GR;2719399.718;1180660.077;rm;01.07.2008
Rabius;7172;0;Trun;3987;GR;2716592.687;1177631.058;rm;01.07.2008
Obersaxen;7134;0;Obersaxen Mundaun;3988;GR;2724557.283;1175652.5;de;01.05.2015
Flond;7137;0;Obersaxen Mundaun;3988;GR;2731469.911;1180932.145;rm;01.07.2008
Surcuolm;7138;0;Obersaxen Mundaun;3988;GR;2730929.923;1179395.118;rm;01.07.2008
Aarau;5000;0;Aarau;4001;AG;2646060.838;1248866.143;de;01.07.2008
Aarau;5004;0;Aarau;4001;AG;2646950.666;1250196.996;de;01.07.2008
Aarau Rohr;5032;0;Aarau;4001;AG;2648486.532;1250602.774;de;01.01.2010
Biberstein;5023;0;Biberstein;4002;AG;2648607.371;1252275.772;de;01.07.2008
Buchs AG;5033;0;Buchs (AG);4003;AG;2648090.996;1249336.958;de;01.07.2008
Asp;5025;0;Densbüren;4004;AG;2646410.84;1254736.728;de;01.07.2008
Densbüren;5026;0;Densbüren;4004;AG;2646645.923;1256263.37;de;01.07.2008
Barmelweid;5017;0;Erlinsbach (AG);4005;AG;2640395.234;1252538.514;de;01.07.2008
Erlinsbach;5018;0;Erlinsbach (AG);4005;AG;2643039.661;1251462.456;de;01.07.2008
Gränichen;5722;0;Gränichen;4006;AG;2650396.834;1245041.949;de;01.07.2008
Teufenthal AG;5723;0;Gränichen;4006;AG;2650924.834;1242936.443;de;01.07.2008
Hirschthal;5042;0;Hirschthal;4007;AG;2647571.362;1240931.325;de;01.07.2008
Rombach;5022;0;Küttigen;4008;AG;2645695.977;1250642.42;de;01.07.2008
Küttigen;5024;0;Küttigen;4008;AG;2645844.03;1252359.111;de;01.07.2008
Muhen;5037;0;Muhen;4009;AG;2647208.7;1242769.109;de;01.07.2008
Oberentfelden;5036;0;Oberentfelden;4010;AG;2645405.288;1244979.192;de;01.07.2008
Aarau;5000;0;Suhr;4012;AG;2646962.651;1248036.675;de;01.07.2008
Suhr;5034;0;Suhr;4012;AG;2648882.688;1247293.169;de;01.07.2008
Unterentfelden;5035;0;Unterentfelden;4013;AG;2645514.163;1246594.159;de;01.07.2008
Turgi;5300;0;Baden;4021;AG;2661993.035;1260029.177;de;01.07.2008
Baden;5400;0;Baden;4021;AG;2664344.711;1258027.603;de;01.07.2008
Baden;5404;0;Baden;4021;AG;2663304.304;1256345.239;de;01.07.2008
Dättwil AG;5405;2;Baden;4021;AG;2664389.368;1256230.242;de;01.07.2008
Rütihof;5406;2;Baden;4021;AG;2662399.965;1254493.291;de;01.07.2008
Bellikon;5454;0;Bellikon;4022;AG;2668683.855;1249405.576;de;01.07.2008
Widen;8967;0;Bellikon;4022;AG;2669232.327;1247755.891;de;01.07.2008
Bergdietikon;8962;0;Bergdietikon;4023;AG;2671022.288;1249051.844;de;01.07.2008
Widen;8967;0;Bergdietikon;4023;AG;2669922.568;1248626.517;de;01.07.2008
Rütihof;5406;2;Birmenstorf (AG);4024;AG;2662025.714;1254450.179;de;01.07.2008
Birmenstorf AG;5413;0;Birmenstorf (AG);4024;AG;2662456.985;1255987.715;de;01.07.2008
Ennetbaden;5408;0;Ennetbaden;4026;AG;2667012.161;1259161.605;de;01.07.2008
Dättwil AG;5405;2;Fislisbach;4027;AG;2664627.377;1255314.278;de;01.07.2008
Fislisbach;5442;0;Fislisbach;4027;AG;2664268.147;1254300.395;de;01.07.2008
Freienwil;5423;0;Freienwil;4028;AG;2666449.601;1261222.294;de;01.07.2008
Gebenstorf;5412;0;Gebenstorf;4029;AG;2660706.752;1259110.835;de;01.07.2008
Vogelsang AG;5412;1;Gebenstorf;4029;AG;2660443.881;1260935.42;de;01.01.2011
Killwangen;8956;0;Killwangen;4030;AG;2668074.208;1253355.618;de;01.07.2008
Künten;5444;0;Künten;4031;AG;2667031.017;1249074.128;de;01.07.2008
Mägenwil;5506;0;Mägenwil;4032;AG;2659988.737;1251744.177;de;01.07.2008
Mellingen;5507;0;Mellingen;4033;AG;2662936.303;1252517.777;de;01.07.2008
Neuenhof;5432;0;Neuenhof;4034;AG;2666876.924;1255248.145;de;01.07.2008
Niederrohrdorf;5443;0;Niederrohrdorf;4035;AG;2665136.824;1252797.979;de;01.07.2008
Oberrohrdorf;5452;0;Oberrohrdorf;4037;AG;2666717.885;1252939.476;de;01.07.2008
Nussbaumen AG;5415;0;Obersiggenthal;4038;AG;2664580.65;1260863.676;de;01.07.2008
Hertenstein AG;5415;1;Obersiggenthal;4038;AG;2666212.477;1260179.342;de;01.07.2008
Rieden AG;5415;2;Obersiggenthal;4038;AG;2665168.474;1259612.464;de;01.07.2008
Kirchdorf AG;5416;0;Obersiggenthal;4038;AG;2663379.586;1261311.548;de;01.07.2008
